Tue. Nov. 13, 2012             LANDSAT 5                 Time: 17:03
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L5178374            Path/Row: 170 / 072

L0R Reference Image: L51XXX1084174071700_HDF.123182149
Acquisition Date: Jun 22, 1984

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
170   072   2000-09-30


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1700720001  -16.572871   30.459491  1037.686       0.210    -3.640     0.710    -3.573
1700720003  -17.796539   31.106117  1532.847      -4.846     0.101    -4.804    -0.560
1700720004  -17.738720   29.906176  1115.276       2.336    -3.019     2.725    -2.669
1700720005  -17.649699   30.126370  1246.443       3.296     4.040     2.709     4.448
1700720006  -16.867314   30.655683  1193.207      -5.034    -3.316    -4.523    -3.972
1700720007  -17.892402   29.982447  1029.373       0.419    -3.716     0.923    -3.621
1700720009  -17.731527   30.146268  1263.726       6.365     0.582     6.219     1.446
1700720014  -17.618901   30.040419  1171.382       0.405     1.692     0.169     1.730
1700720015  -17.821729   30.377894  1330.512       1.013    -0.258     1.037    -0.117
1700720017  -17.865615   31.020192  1457.783      -1.741    -3.075    -1.302    -3.277
1700720018  -17.701988   30.071842  1182.641      -0.259     2.318    -0.573     2.258
1700720019  -17.807361   30.000564  1080.178      -3.206     0.271    -3.209    -0.170
1700720020  -17.835326   29.969836  1073.446      -3.871    -6.500    -2.943    -6.963
1700720021  -17.425653   29.856201  1070.126      -5.627    -6.764    -4.642    -7.468
1700720022  -17.889833   30.009082  1071.959      -6.696    -2.860    -6.237    -3.746
1700720023  -17.852246   30.048744  1081.679       2.646    -2.295     2.933    -1.910
1700720024  -17.768256   30.138617  1242.621       7.624     2.884     7.150     3.896
1700720027  -17.505531   31.145034  1351.901      -6.431     1.135    -6.513     0.243
1700720029  -17.666803   30.073825  1153.903       2.879     2.468     2.512     2.836
1700720031  -17.326255   30.164449  1270.996      -5.096    -4.645    -4.405    -5.295
1700720033  -17.854766   30.277828  1259.599       0.726     6.346    -0.148     6.377
