Cl1984,CostzPr_6_84_1,CostzPr_6_84_2,MSAVI_22_06_84,NDVI_22_06_84,SAVI_22_06_84,CostzPr_6_84_3,CostzPr_6_84_4,CostzPr_6_84_5,CostzPr_6_84_6,entropy_22_6_84_b4,entropy_22_6_84_b5,entropy_22_6_84_b7,homogeneity_22_6_84_b4,homogeneity_22_6_84_b5,homogeneity_22_6_84_b7,mean_22_6_84_b4,mean_22_6_84_b5,mean_22_6_84_b7,variance_22_6_84_b4,variance_22_6_84_b5,variance_22_6_84_b7
Set,72,35,-0.974675417,0,0,38,38,70,45,1.831020474,1.889159203,1.860089779,0.50555557,0.450219452,0.497712404,0.2734375,0.258680552,0.162326396,74.05241394,75.58316803,30.3699131
Set,69,31,-1.089432836,-0.030303031,-0.045112781,34,32,54,36,2.197224617,1.889159203,2.04319191,0.455555558,0.446581185,0.458823532,0.253472209,0.224826396,0.151041672,63.61903381,46.50858688,21.7242775
Set,68,29,-1.098202586,-0.033333335,-0.049586777,31,29,33,19,2.120208263,2.120208263,1.889159203,0.321920574,0.455555558,0.600000024,0.154513896,0.154513896,0.102430552,24.43630981,24.81207275,10.8831892
Set,62,29,-1.174901962,-0.052631579,-0.078260869,30,27,34,23,2.197224617,1.783073425,1.860089779,0.348427832,0.358558565,0.561111093,0.271701396,0.215277776,0.139756948,75.31361389,47.01713181,19.66617393
Set,71,33,-0.974675417,0,0,38,38,54,32,1.860089779,2.04319191,1.889159203,0.561111093,0.550000012,0.594444454,0.2578125,0.2265625,0.146701396,69.26786041,53.2336235,22.28637505
Set,66,30,-1.032769322,-0.016949153,-0.025210084,30,29,46,30,2.04319191,2.197224617,1.629040718,0.383333325,0.361111104,0.655555546,0.231770828,0.221354172,0.137152776,54.2099762,47.95004654,18.49682236
Set,79,38,-1.126380086,-0.037974682,-0.056603774,41,38,54,32,2.120208263,1.889159203,1.368922353,0.455555558,0.590390384,0.727777779,0.258680552,0.222222224,0.144965276,67.20016479,44.98765564,19.70022011
Set,70,31,-1.092177033,-0.03125,-0.046511628,33,31,64,36,1.966175556,1.783073425,1.599971414,0.538888872,0.556270957,0.688888907,0.238715276,0.2265625,0.145833328,53.05839539,53.83954239,21.3268261
Set,75,33,-0.91771549,0.014492754,0.021582734,34,35,59,32,2.04319191,1.889159203,1.831020474,0.216250867,0.588888884,0.688888907,0.250868052,0.21875,0.137152776,69.7154541,47.76317596,18.27462578
Set,70,32,-0.817750454,0.04225352,0.062937066,34,37,53,30,2.120208263,1.706057072,1.783073425,0.296165407,0.600000024,0.688888907,0.265625,0.234375,0.147569448,77.51858521,56.12786102,22.05612564
Set,78,32,-1.163496256,-0.049180329,-0.073170729,32,29,47,28,2.120208263,2.04319191,1.966175556,0.368803412,0.430259675,0.564379096,0.212673604,0.203125,0.141493052,47.5595665,45.84335327,22.55688286
Set,73,33,-1.267588019,-0.072463766,-0.107913665,37,32,38,26,1.889159203,1.706057072,1.475008011,0.555555582,0.694444418,0.677777767,0.21875,0.190104172,0.123263888,45.25619507,34.42157364,14.50093174
Set,63,27,-1.112966776,-0.03846154,-0.057142857,27,25,47,30,1.966175556,2.04319191,1.629040718,0.522222221,0.561111093,0.711111128,0.190972224,0.181423604,0.116319448,34.85591888,34.82535934,13.93829918
Set,68,32,-0.971002281,0,0,33,33,58,36,2.120208263,2.120208263,1.937106133,0.611111104,0.495424837,0.688888907,0.236111104,0.206597224,0.131944448,57.93849182,42.1117897,17.34766769
Set,69,32,-1.148922682,-0.044776119,-0.06666667,35,32,67,42,2.04319191,1.889159203,1.860089779,0.527777791,0.283552796,0.525490224,0.247395828,0.253472209,0.164930552,63.21415329,74.50494385,31.08357811
Set,72,35,-0.974675417,0,0,38,38,70,45,1.831020474,1.889159203,1.860089779,0.50555557,0.450219452,0.497712404,0.2734375,0.258680552,0.162326396,74.05241394,75.58316803,30.3699131
Br,86,47,-0.831845224,0.040650405,0.060728744,59,64,131,78,2.197224617,1.889159203,1.966175556,0.382051289,0.550980389,0.50555557,0.447916657,0.463541657,0.282118052,197.694046,214.1978149,79.16108704
Br,61,31,-0.573923826,0.116279073,0.173410401,38,48,102,53,1.676987767,1.027941942,1.079734564,0.688888907,0.75,0.694444418,0.395833343,0.401909709,0.209201396,151.017807,153.3349609,41.92108154
Br,70,37,-0.729068458,0.069306932,0.103448279,47,54,109,65,2.120208263,1.783073425,1.291905999,0.51111114,0.572222233,0.677777767,0.460069448,0.452256948,0.277777791,207.605484,200.9279938,74.47232819
Br,74,40,-0.695257068,0.079646021,0.11894273,52,61,110,65,2.197224617,1.629040718,1.350044727,0.472222209,0.666666687,0.716666639,0.493923604,0.479166657,0.296006948,243.3262177,227.0954437,86.65288544
Br,69,36,-0.824945211,0.041666668,0.062176164,46,50,107,66,2.120208263,1.075888991,1.0720433,0.366666675,0.805555582,0.861111104,0.414930552,0.426215291,0.271701396,168.4407349,175.7539978,72.52617645
Br,83,47,-0.737455666,0.067669176,0.101123594,62,71,127,71,2.04319191,2.04319191,1.629040718,0.349849164,0.383333325,0.611111104,0.530381918,0.490451396,0.291666657,288.7769165,241.2108154,84.68696594
Br,58,27,-0.480109155,0.146666661,0.218543053,32,43,80,38,1.427061081,1.288060427,1.336007357,0.777777791,0.73888886,0.805555582,0.354166657,0.356770843,0.177951396,120.7643356,123.6278839,30.34821892
Br,70,38,-0.718887627,0.072164945,0.107692309,45,52,106,66,2.120208263,1.860089779,1.706057072,0.349999994,0.661111116,0.694444418,0.407118052,0.408854157,0.254340291,158.5600891,167.486618,63.88220978
Br,86,49,-0.706457555,0.07692308,0.114982575,66,77,136,74,1.966175556,2.197224617,2.04319191,0.392156869,0.455555558,0.577777803,0.560763896,0.526041687,0.305555552,317.8642273,276.9410706,93.05015564
Br,58,27,-0.297830999,0.211267605,0.314685315,28,43,80,42,1.889159203,1.966175556,1.658110142,0.666666687,0.677777767,0.805555582,0.340277791,0.315972209,0.177951396,111.8164063,99.86219788,31.97534561
Br,69,36,-0.633615315,0.098039217,0.146341458,46,56,110,60,1.658110142,1.629040718,1.552024364,0.655555546,0.816666663,0.777777791,0.440972209,0.436631948,0.244791672,191.2068024,187.5345917,58.75321198
Br,68,34,-0.67518568,0.08510638,0.126984134,43,51,97,50,2.120208263,1.966175556,1.783073425,0.48888889,0.655555546,0.716666639,0.395833343,0.399305552,0.214409724,151.462265,154.0660858,43.69509125
Br,82,45,-0.641533136,0.096296296,0.143911436,61,74,137,68,2.120208263,2.04319191,1.966175556,0.353971839,0.156535953,0.561111093,0.5234375,0.488715291,0.259548604,274.8163757,243.2666779,67.68388367
Br,64,34,-0.568352163,0.118279569,0.176470593,41,52,96,47,1.310783625,1.658110142,1.134027719,0.605555534,0.550000012,0.75,0.3984375,0.401909709,0.212673604,150.7316742,156.4678802,43.27343369
Br,61,30,-0.481767356,0.146341458,0.218181819,35,47,95,46,1.291905999,1.291905999,0.998872638,0.777777791,0.777777791,0.888888896,0.387152791,0.394097209,0.210069448,145.6251984,150.8381805,43.30763626
Br,84,45,-0.571145415,0.11811024,0.176470593,56,71,140,75,2.197224617,2.197224617,1.966175556,0.418803424,0.386601299,0.550000012,0.515625,0.499131948,0.275173604,275.9638672,256.9441528,77.90037537
Br,67,34,-0.606025994,0.106382981,0.158730164,42,52,99,52,1.676987767,1.812142849,0.979994953,0.705555558,0.577777803,0.916666687,0.407118052,0.416666657,0.231770828,159.4695587,167.9514008,52.26958084
Set,77,44,-0.886073351,0.025641026,0.038297873,57,60,120,70,1.24395895,1.104958296,0.67577517,0.75,0.872222245,0.916666687,0.4765625,0.457465291,0.278645843,220.9458618,199.003067,74.23505402
Set,77,42,-0.735893369,0.06779661,0.101265825,55,63,123,72,1.599971414,1.552024364,1.060856938,0.661111116,0.722222209,0.722222209,0.488715291,0.482638896,0.289930552,231.0368805,224.3247681,82.00535583
Set,76,44,-0.801225126,0.049180329,0.073469386,58,64,121,73,1.262836695,1.445938706,1.288060427,0.777777791,0.722222209,0.805555582,0.482638896,0.482638896,0.2890625,224.1025543,227.4397278,82.02105713
Set,74,41,-0.811662614,0.04587156,0.06849315,52,57,105,58,1.416869402,1.214889646,1.310783625,0.805555582,0.888888896,0.722222209,0.433159709,0.420138896,0.237847224,181.5998535,169.8794556,53.79576874
Set,78,42,-0.755612016,0.061946902,0.092511013,53,60,119,72,1.185820341,1.397991657,1.017750263,0.74444443,0.688888907,0.805555582,0.484375,0.482638896,0.290798604,224.2728882,224.3248749,81.98969269
Set,73,43,-0.76702112,0.05882353,0.087866105,56,63,122,70,1.504077435,1.754004121,0.9163993,0.649999976,0.600000024,0.783333361,0.469618052,0.46875,0.278645843,214.6943207,214.7197266,76.28424072
